City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Irapuato,MX,76.15,few clouds,20.6833,-101.35,Best Western Plus Plaza Florida & Tower
286,Shache,CN,79.25,overcast clouds,38.4167,77.2406,Delong Hotel
290,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
296,Araure,VE,76.39,broken clouds,9.5601,-69.2148,Hotel Las Majaguas
301,Edgewater,US,78.03,few clouds,28.9889,-80.9023,Islander Beach Resort
303,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
307,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
312,Atar,MR,87.17,overcast clouds,20.5169,-13.0499,Oumou Elghoura
314,Jiwani,PK,83.3,scattered clouds,25.05,61.7417,Hamza hotel jiwani
315,Champerico,GT,78.13,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
316,Nabire,ID,85.35,few clouds,-3.3667,135.4833,Hotel Nusantara I
317,Dingle,PH,88.11,clear sky,10.9995,122.6711,SEGAYA PROPERTY
320,Juegang,CN,84.97,clear sky,32.3174,121.1855,Rudong Y Hotel
326,Nizwa,OM,88.36,clear sky,22.9333,57.5333,Orient Apartments
330,Kununurra,AU,87.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
333,Salinopolis,BR,78.01,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
339,Gizo,SB,83.89,broken clouds,-8.103,156.8419,Imagination Island
348,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
354,Jizan,SA,83.34,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
358,Kualakapuas,ID,85.1,broken clouds,-3.0091,114.3876,Guest House Izonk
360,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
361,Taybad,IR,83.07,clear sky,34.74,60.7756,لی پوش jean center
369,Pala,TD,75.6,overcast clouds,9.3642,14.9046,Nectar Hôtel de Pala
371,Qinhuangdao,CN,75.4,broken clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
373,Sabha,LY,78.55,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
374,Charters Towers,AU,78.62,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
379,Along,IN,79.56,overcast clouds,28.1667,94.7667,Hotel West
381,Kulhudhuffushi,MV,82.49,moderate rain,6.6221,73.07,Haajy Guest House 1
383,Komsomolskiy,UZ,75.92,broken clouds,40.4272,71.7189,Ikathouse
389,Diriomo,NI,75.58,overcast clouds,11.8761,-86.0518,Finca Orgánica Alemán
391,La Asuncion,VE,78.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
394,Ayorou,NE,88.32,scattered clouds,14.7308,0.9174,Hotel Amenokal
396,Katherine,AU,89.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
398,Tura,IN,81.23,light rain,25.5198,90.2201,Hotel RIKMAN Continental
401,Dunmore Town,BS,79.74,overcast clouds,25.5,-76.65,Coral Sands Hotel
412,Cairns,AU,85.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
415,Kutum,SD,75.65,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
416,Ende,ID,86.22,few clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
424,Ouargaye,BF,84.97,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
426,Korla,CN,77.92,clear sky,41.7597,86.1469,Gulisitan Hotel
429,Lao Cai,VN,88.57,overcast clouds,22.4833,103.95,Legend Hotel
435,Lorengau,PG,84.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
438,Batticaloa,LK,86.05,light rain,7.7102,81.6924,Grand Star Guest House
440,Hami,CN,77.5,clear sky,42.8,93.45,Laoyutang Resort
444,Touros,BR,75.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
451,Aksu,CN,79.47,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
456,Myitkyina,MM,75.31,heavy intensity rain,25.3833,97.4,Shwe Phyu Hotel
462,Aswan,EG,82.08,broken clouds,24.0934,32.907,Nuba Nile
466,Sorong,ID,84.27,clear sky,-0.8833,131.25,Waigo Splash Hotel
468,Kupang,ID,84.76,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
471,Progreso,MX,78.12,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
473,Kavieng,PG,84.25,broken clouds,-2.5744,150.7967,Nusa Island Retreat
474,Alyangula,AU,83.61,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
489,Hutang,CN,84.78,overcast clouds,31.5333,119.4833,Dongyuan Restaurant
492,Encheng,CN,85.96,light rain,22.1839,112.3026,Pinghu Hostel
493,Waingapu,ID,87.08,few clouds,-9.6567,120.2641,Pondok Wisata Elim
503,Vanimo,PG,86.58,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
504,Sinnamary,GF,77.18,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
505,Fare,PF,78.98,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
512,Sindou,BF,76.35,scattered clouds,10.6667,-5.1667,LERABA HOTEL
519,Tamale,GH,76.86,scattered clouds,9.4008,-0.8393,Tap Hotel
523,Port-Gentil,GA,75.47,overcast clouds,-0.7193,8.7815,Fengshui Residence
525,Manaure,CO,81.63,broken clouds,11.7751,-72.4445,Hotel Palaaima
526,Kawalu,ID,84.25,scattered clouds,-7.3817,108.2082,West Jontor
527,Jieshi,CN,84.11,broken clouds,22.8134,115.8257,Yuehai Hotel
529,Yangjiang,CN,85.82,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
531,Sola,VU,86.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
539,Gunjur,GM,77.07,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
541,Kailua,US,82.38,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
543,Ewa Beach,US,82.35,overcast clouds,21.3156,-158.0072,Base Lodging
545,Rabak,SD,85.01,broken clouds,13.1809,32.74,فندق ربك Rabak Hotel
550,Buala,SB,82.99,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
553,Kirakira,SB,83.66,broken clouds,-10.4544,161.9205,SanBiz Lodge
562,Manggar,ID,86.65,moderate rain,-2.8833,108.2667,Guest Hotel
566,Tambun,ID,87.69,broken clouds,-6.2641,107.0712,Metland Hotel Bekasi
568,Darab,IR,83.86,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
573,Phonhong,LA,83.91,overcast clouds,18.5007,102.4166,Manyvong Guest House
578,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
579,Sulangan,PH,84.16,scattered clouds,11.1373,123.7228,Maia's Beach Resort
580,Iracoubo,GF,77.07,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
582,Intipuca,SV,80.55,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
592,Enshi,CN,82.6,overcast clouds,30.3,109.4833,Moevenpick Enshi
595,Portland,US,75.18,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
599,Emmett,US,76.37,overcast clouds,43.8735,-116.4993,Holiday Motel & R.V Park
606,Mahibadhoo,MV,83.55,broken clouds,3.7833,72.9667,Omadhoo Inn
607,Mogadishu,SO,79.77,light rain,2.0371,45.3438,Hotel Juba
608,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
610,Bowen,AU,75.36,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
621,Vaitape,PF,79.3,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
624,Abilene,US,75.42,scattered clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
633,Nola,IT,76.37,clear sky,40.922,14.5329,Palazzo Giordano Bruno
637,Caborca,MX,80.46,clear sky,30.5838,-111.101,Hotel Los Lagos
644,Shimoda,JP,77.36,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
652,Ilam,NP,76.59,broken clouds,26.9167,87.9167,चियाबारी कटेज
653,Nemea,GR,77.22,clear sky,37.8167,22.6667,villa Axiothea nemea
654,Anchorage,US,79.68,clear sky,61.2181,-149.9003,Hotel Captain Cook
656,Santa Flavia,IT,79.77,clear sky,38.085,13.5351,La Caletta
657,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
659,Tual,ID,83.98,clear sky,-5.6667,132.75,Grand Vilia Hotel
664,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
675,Kandi,BJ,78.21,overcast clouds,11.1342,2.9386,Hébergement de la Poste
678,La Plaine,DM,77.31,overcast clouds,15.3333,-61.25,Citrus Creek Plantation
682,Eagle Pass,US,87.28,scattered clouds,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
686,Eyl,SO,81.64,broken clouds,7.9803,49.8164,Amiin Hotel
