City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,San Patricio,US,28.017,-97.5169,82.89,71,1,8.9,clear sky
79,Jamestown,US,42.097,-79.2353,52.72,70,0,6.91,clear sky
80,Jumla,NP,29.2747,82.1838,67.77,27,13,4.79,few clouds
81,Baykit,RU,61.67,96.37,39.94,77,100,10.65,overcast clouds
82,Banjar,ID,-8.19,114.9675,86.4,67,10,1.72,clear sky
83,Norman Wells,CA,65.282,-126.8329,68.11,43,100,3.8,overcast clouds
84,Pavlodar,KZ,52.3,76.95,66.0,22,0,2.24,clear sky
85,Napanee,CA,44.2501,-76.9494,59.05,94,23,6.58,few clouds
86,Souillac,MU,-20.5167,57.5167,71.85,69,17,12.64,few clouds
87,Kommunisticheskiy,RU,61.6789,64.4819,43.5,37,0,9.91,clear sky
88,Anloga,GH,5.7947,0.8973,80.98,82,56,9.06,light rain
89,Bluff,NZ,-46.6,168.3333,50.81,72,98,16.44,overcast clouds
90,Samarai,PG,-10.6167,150.6667,80.6,80,100,8.5,heavy intensity rain
91,Butaritari,KI,3.0707,172.7902,81.68,66,3,5.26,clear sky
92,Ilulissat,GL,69.2167,-51.1,33.82,86,86,1.14,overcast clouds
93,Mubi,NG,10.2676,13.2644,75.47,56,69,4.03,broken clouds
94,Mehamn,NO,71.0357,27.8492,44.55,81,0,6.71,clear sky
95,Alepe,CI,5.5004,-3.6631,82.27,96,21,0.74,light rain
96,Atuona,PF,-9.8,-139.0333,78.64,68,0,17.65,clear sky
97,East London,ZA,-33.0153,27.9116,55.04,56,8,5.28,clear sky
98,Fairbanks,US,64.8378,-147.7164,77.02,25,75,9.22,broken clouds
99,South Sioux City,US,42.4739,-96.4136,66.2,43,0,6.91,clear sky
100,Vryburg,ZA,-26.9566,24.7284,43.54,45,5,2.84,clear sky
101,Manokwari,ID,-0.8667,134.0833,84.63,68,10,9.78,clear sky
102,Mlonggo,ID,-6.5333,110.7,85.24,59,5,10.49,clear sky
103,Karratha,AU,-20.7377,116.8463,68.99,52,20,16.28,few clouds
104,Torbay,CA,47.6666,-52.7314,40.57,95,100,18.99,overcast clouds
105,Avera,US,33.194,-82.5271,78.85,59,70,6.11,broken clouds
106,Nkhata Bay,MW,-11.6066,34.2907,67.69,68,99,10.2,overcast clouds
107,Staszow,PL,50.5631,21.1659,48.92,88,4,2.62,clear sky
108,Hongjiang,CN,27.11,109.9956,77.83,94,100,0.87,light rain
109,Ferme-Neuve,CA,46.7001,-75.4493,56.03,98,100,3.13,overcast clouds
110,Witu,KE,-2.3889,40.4382,78.96,83,100,15.1,light rain
111,Redmond,US,47.674,-122.1215,69.28,86,100,1.99,moderate rain
112,Avarua,CK,-21.2078,-159.775,77.05,65,75,11.5,broken clouds
113,Tiksi,RU,71.6872,128.8694,37.17,86,100,4.7,overcast clouds
114,Ahuachapan,SV,13.9214,-89.845,65.79,90,72,1.12,broken clouds
115,Maragogi,BR,-9.0122,-35.2225,74.37,92,99,5.26,overcast clouds
